Famous Person,Born,Died
Siegfried Wuppermann,1916,2005
Otto Pollmann,1915,1958
Kurt Plenzat,1912,1998
Bruno Dilley,1913,1968
Heinz Rökker,1920,2010
Hendrik Stahl,1921,2004
Joachim Domaschk,1914,1986
Cecil B. DeMille,1881,1959
Jimmy Van Heusen,1913,1990
Horst Niemack,1909,1992
Stonewall Jackson,1824,1863
Gustav Rödel,1915,1995
Arthur Schopenhauer,1788,1860
Sun Yat-sen,1866,1925
Harriet Tubman,1820,1913
Yitzhak Rabin,1922,1995
Alexander Löhr,1885,1947
Erich von Manstein,1887,1973
Hector Berlioz,1803,1869
Mickey Rooney,1920,2014
Catherine the Great,1729,1796
Humphrey Bogart,1899,1957
C. S. Lewis,1898,1963
James K. Polk,1795,1849
Gottfried Weber (general),1899,1958
Gerhard Behnke,1910,1962
Alfred Montag,1918,1990
Konrad Sauer,1915,1986
Franz Kieslich,1913,2012
Karl Henze,1916,1985
Henry Ford,1863,1947
Heinrich Hax,1900,1969
Anton Grasser,1891,1976
Erich Schmidt (soldier),1911,1977
Willy Langkeit,1907,1969
Günther Pape,1907,1986
Antonín Dvořák,1841,1904
Heinz-Georg Lemm,1919,1994
Hermann Plocher,1901,1980
Wilhelm Antrup,1910,1984
Arthur Jüttner,1908,2003
Gerd Ruge (soldier),1913,1997
Ernst Philipp,1912,2005
François-René de Chateaubriand,1768,1848
Carl Gustaf Emil Mannerheim,1867,1951
Percy Bysshe Shelley,1792,1822
Heinrich Baron von Behr,1902,1983
Henri Matisse,1869,1954
Hans-Gotthard Pestke,1914,2001
Arthur William Baden Powell,1901,1987
Curt Gowdy,1919,2006
Hellmuth Mäder,1908,1984
Werner Ebeling,1913,2008
Joseph von Radowitz (general),1899,1956
Heinz-Martin Ewert,1915,1980
Adalbert von Blanc,1907,1976
Ernst Wellmann,1904,1970
Rudolf Neubert,1914,1995
Chet Atkins,1924,2001
Neville Chamberlain,1869,1940
Heinrich Hoffmann (naval officer),1910,1998
Hans-Henning Freiherr von Beust,1913,1991
Josef Rettemeier,1914,1997
Eduard Brunner (officer),1918,2006
Kurt Witschel,1915,1992
Oskar-Hubert Dennhardt,1915,2014
